xid_possession,xid_chance,xid_shot,team_nba_off,team_nba_def,player_nba_shooter,player_nba_passer,player_nba_closestDef,player_nba_blocker,frame_start,frame_end,period,gameClock_start,gameClock_end,gameClock_format_start,gameClock_format_end,shotClock,loc_x,loc_y,loc_x_passer,loc_y_passer,region,m_region,fga,fg,fga3,fg3,fouled,three,qSQ,distance,shotType,complexShotType,catchAndShoot,dribblesBefore,assisted,assistOpp,createdFromPaint,putback,blocked,contestLevel,rearViewContest,closestDefDist,releaseTime,shotAngle,shooterSpeed,shooterVelAngle,rimDepth,rimLeftRight,arcAngle,complexOutcome
beed54fb-877b-54b8-a41b-cbb4b3373edf,6c7bc848-5461-5062-b2cf-c249ba484477,26b9776e-10d8-5fda-b685-7f65685cdbd2,MIL,OKC,"Antetokounmpo, Giannis","Lopez, Brook","Joe, Isaiah",null,70828,70843,1,482.55,481.95,8:02,8:01,9.67,-1.19,19.17,-16.2,27.45,middle two,Mid,0,0,0,0,1,0,33.23385715,13.97077306,post,postRight,0,1,0,0,1,0,0,heavily_contested,0,1.842199772,2.84,4.886250317,4.801981651,159.5098025,null,null,null,null
654b817f-4305-54ab-9264-b3bf717782c7,39d4babf-7b81-5fcb-ad55-915b7863e878,99aa09ef-8473-5ff4-90fc-406c26efcfc7,OKC,MIL,"Williams, Kenrich","Wallace, Cason","Portis, Bobby",null,86959,86992,1,252.68,251.36,4:12,4:11,11.83,-1.16,31.76,8.63,24.02,middle three,ATB,1,0,1,0,0,1,59.39038396,26.53536697,jumper,catchAndShoot,1,0,0,1,0,0,0,heavily_contested,0,6.864663138,0.88,2.505497335,0.97628121,37.30007376,0.569123547,0.804582778,47.11203937,outside_rim_miss
00cc24cf-f4ad-5ae4-a4dc-3ed7b5bb6eab,225fcd13-6a7c-560b-b303-d3907c2b6403,6f1bb559-b4d6-5066-9ee4-4e0f8f6f8051,MIL,OKC,"Lopez, Brook","Antetokounmpo, Giannis","Mitchell, Ajay",null,124553,124586,2,402.82,401.5,6:42,6:41,16.49,-19.96,26.01,-0.27,26.85,right wing three,ATB,1,0,1,0,0,1,44.61310208,28.79894443,jumper,catchAndShoot,1,0,0,1,0,0,0,heavily_contested,0,5.4558684,0.84,43.87449097,0.566727938,-7.847117586,0.118138225,-0.291532739,45.16136011,inside_rim_miss
c00e78f9-ccc0-5352-ab22-eb2ec039aef8,27cfa344-22cc-5f21-baa6-4771e3cc4f91,3ed4c384-4a76-580a-b2db-46df4b266e31,OKC,MIL,"Gilgeous-Alexander, Shai","Caruso, Alex","Jackson Jr., Andre",null,142376,142404,2,134.08,132.96,2:14,2:12,14.48,6.19,29.5,0.44,41.56,middle three,ATB,1,0,1,0,0,1,50.5880937,25.02755681,jumper,overScreen,0,3,0,0,0,0,0,lightly_contested,1,2.326478025,3.4,-14.31941635,4.387877872,-8.593412047,1.294762518,-0.480035772,37.70550341,outside_rim_miss
7b7ced1f-ca76-531b-83a0-07f6066c4bf0,42d76d12-935e-53b5-9a58-ac52b3512662,5fcd60f9-eb60-55ce-8d2f-e6784abc25cd,MIL,OKC,"Antetokounmpo, Giannis","Prince, Taurean","Gilgeous-Alexander, Shai",null,137354,137355,2,255.56,255.52,4:15,4:15,12.26,0.42,7.52,-6.81,4.41,ra,RA,1,1,0,0,0,0,80.35312891,2.308527669,layup,lob,1,0,1,1,1,0,0,heavily_contested,0,2.305862095,0.24,-10.4824384,7.599570529,-0.581062136,null,null,null,null
385bcb8a-10d4-5e82-8fbe-ad1ea95fe6b5,097e860b-54f1-59f2-80d2-bd1368f588fb,cad064b6-57f0-5068-bf48-c206f9ea5700,OKC,MIL,"Williams, Jalen","Gilgeous-Alexander, Shai","Lopez, Brook",null,82983,82996,1,333.66,333.14,5:33,5:33,0.57,0.52,10.19,-15.84,22.36,key,NRA,1,0,0,0,0,0,41.24416113,4.967293025,layup,drivingLayup,0,2,0,0,1,0,0,heavily_contested,0,2.460995733,2.76,-6.009005958,9.709674442,-44.56319185,null,null,null,null
0b311851-806f-5cec-818d-d48554ae580a,b1975e23-0442-5bce-8357-8ebe5f1bc706,42a2e02c-f142-518b-9681-b153593126c3,MIL,OKC,"Lillard, Damian","Green, AJ","Dort, Luguentz",null,231297,231329,4,634.38,633.1,10:34,10:33,5.17,-15.18,27.34,-1.71,32.29,right wing three,ATB,1,0,1,0,0,1,48.31649065,26.80299424,jumper,catchAndShootOnMoveLeft,1,0,0,1,0,0,0,heavily_contested,0,6.030165835,0.8,34.49641251,2.441680887,92.17793716,1.067524153,0.68746061,43.80624138,outside_rim_miss
8f7231ee-1969-5c09-ab86-61b65630a4d4,d820fa47-47ee-5302-9f85-15d884863175,ace2e340-82b6-5a65-b008-467bad792b4c,MIL,OKC,"Antetokounmpo, Giannis","Connaughton, Pat","Hartenstein, Isaiah",null,100658,100690,1,20.83,19.57,0:20,0:19,1.85,16.86,15.54,15.2,31.21,left wing two,Mid,1,0,0,0,0,0,21.13780975,19.75205559,jumper,stepback,0,2,0,0,0,0,0,heavily_contested,0,4.896335364,2.64,-58.60343649,2.583333333,148.6034365,-0.455081864,-0.641060982,47.16676354,outside_rim_miss
3ed265dc-21c7-5b7a-9cf6-22b9df4bf7eb,861dd247-f118-5302-8b97-2a57f7a664d6,860e830e-4675-5aa3-b4c6-4496b25bdd4f,OKC,MIL,"Gilgeous-Alexander, Shai","Dort, Luguentz","Jackson Jr., Andre",null,182049,182080,3,607.64,606.4,10:07,10:06,18.1,-13.49,26.43,-8.91,84.24,right wing three,ATB,1,0,1,0,0,1,46.13252431,25.11120268,jumper,pullupJumper,0,5,0,0,0,0,0,lightly_contested,1,5.333488539,4.84,32.4939419,4.437842319,1.792935073,1.086778135,0.569635141,40.82063238,outside_rim_miss
1d2c1eaa-c69f-545e-ab89-3f4a0dafe660,b684b2ae-b89e-59e3-a4a2-2be957256e19,55cc6f6b-9e2a-5aac-8946-39d5fb0b6b2f,OKC,MIL,"Williams, Jalen","Gilgeous-Alexander, Shai","Trent Jr., Gary",null,258389,258409,4,265.71,264.91,4:25,4:24,15.3,4.94,11.68,-4.4,93.97,key,NRA,1,0,0,0,0,0,50.17867088,8.108544876,floater,drivingFloater,0,10,0,0,1,0,0,heavily_contested,1,3.045997374,9.36,-37.53412581,8.216894858,124.9183709,-0.107131001,-1.091257083,51.9347331,outside_rim_miss
